Architecture    Offer                                      Publisher    Sku                                  Urn                                                                                                   Version
--------------  -----------------------------------------  -----------  -----------------------------------  ----------------------------------------------------------------------------------------------------  ---------------
x64             0001-com-ubuntu-confidential-vm-focal      Canonical    20_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202505270                         20.04.202505270
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202210040                         22.04.202210040
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202212130                         22.04.202212130
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202301090                         22.04.202301090
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202302080                         22.04.202302080
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202304010                         22.04.202304010
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202304260                         22.04.202304260
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202305310                         22.04.202305310
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202306200                         22.04.202306200
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202306300                         22.04.202306300
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202307140                         22.04.202307140
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202308220                         22.04.202308220
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202310130                         22.04.202310130
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202310260                         22.04.202310260
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202312070                         22.04.202312070
x64             0001-com-ubuntu-confidential-vm-jammy      Canonical    22_04-lts-cvm                        Canonical:0001-com-ubuntu-confidential-vm-jammy:22_04-lts-cvm:22.04.202401310                         22.04.202401310
